Date,Open,High,Low,Close,Adj Close,Volume
1997-11-01,5.625,6.625,5.234375,5.25,3.245939016342163,9692000
1997-12-01,5.25,5.8125,4.9375,5.59375,3.4584689140319824,13907200
1998-01-01,5.53125,6.09375,5.25,5.71875,3.5452616214752197,6079200
1998-02-01,5.78125,6.3125,5.46875,5.6875,3.5258867740631104,10144800
1998-03-01,5.601562976837158,6.5625,5.34375,6.5,4.029589653015137,12271600
1998-04-01,6.15625,6.75,5.59375,5.71875,3.555067777633667,14199600
1998-05-01,5.625,5.78125,5.375,5.78125,3.5939218997955322,4375600
1998-06-01,5.78125,6.28125,5.375,6.21875,3.8658945560455322,15024400
1998-07-01,6.21875,6.453125,5.546875,6.15625,3.8369431495666504,6582800
1998-08-01,6.15625,6.25,4.984375,5.0,3.1162991523742676,6854400
1998-09-01,5.125,5.75,3.90625,5.03125,3.135775566101074,11876800
1998-10-01,5.03125,5.59375,3.59375,5.546875,3.468393325805664,16717200
1998-11-01,5.609375,6.03125,5.5,5.640625,3.5270140171051025,9818000
1998-12-01,5.5625,6.5625,5.5625,6.484375,4.054599285125732,12026000
1999-01-01,6.453125,6.90625,6.0,6.84375,4.292097091674805,10425600
1999-02-01,6.84375,7.4375,6.21875,6.5625,4.115710735321045,9092400
1999-03-01,6.4375,7.046875,6.3125,6.359375,3.9883198738098145,6974000
1999-04-01,6.5,7.5,6.375,7.484375,4.705848217010498,11558400
1999-05-01,7.484375,8.78125,7.453125,8.078125,5.079172611236572,19910000
1999-06-01,8.046875,9.40625,7.75,9.1875,5.776698589324951,11638800
1999-07-01,9.15625,9.40625,8.4375,8.84375,5.572360038757324,6784000
1999-08-01,8.921875,9.0,7.6875,7.875,4.961960792541504,5703200
1999-09-01,7.84375,8.8125,7.625,8.421875,5.3065409660339355,8248800
1999-10-01,8.40625,8.75,7.78125,8.453125,5.3374247550964355,8571200
1999-11-01,8.453125,8.8125,6.859375,8.71875,5.5051469802856445,17717600
1999-12-01,8.765625,10.515625,8.21875,9.9375,6.274682998657227,13361200
2000-01-01,10.0,10.53125,9.25,10.171875,6.4373321533203125,10593600
